,Type,Capacity (MW),Year,$\eta$,$OP$,$P_D$,$C_D$,$P_C$,$C_C$,$I_C$,$F_C$,$V_C$,$In_C$,$Con_C$
0,CCGT,168.0,2018/20/25,0.34,25,3,3,"60,000","700,000","13,600","28,200",5,"2,900","3,300"
1,CCGT,1200.0,2018/20/25,0.54,25,3,3,"10,000","500,000","15,100","12,200",3,"2,100","3,300"
2,CCGT,1471.0,2018/20/25,0.53,25,3,3,"10,000","500,000","15,100","11,400",3,"1,900","3,300"
3,Coal,552.0,2025,0.32,25,6,6,"40,000","3,400,000","10,000","68,200",6,"13,000","3,800"
4,Coal,624.0,2025,0.32,25,5,5,"70,000","4,200,000","10,000","79,600",3,"19,300","3,800"
5,Coal,652.0,2025,0.3,25,5,5,"60,000","3,900,000","10,000","65,300",5,"22,700","3,800"
6,Coal,734.0,2025,0.38,25,5,5,"60,000","2,600,000","10,000","56,400",3,"9,600","3,800"
7,Coal,760.0,2025,0.35,25,5,5,"40,000","2,800,000","10,000","52,100",5,"14,000","3,800"
8,Hydro,0.033,2018/20/25,1.0,35,0,0,0,"6,300,000",0,"83,300",0,0,0
9,Hydro,1.046,2018/20/25,1.0,35,0,0,0,"3,300,000",400,"18,200",0,0,0
10,Hydro,11.0,2018/20/25,1.0,41,2,2,"60,000","3,000,000",0,"45,100",6,0,0
11,Nuclear,3300.0,2025,1.0,60,5,8,"240,000","4,100,000","11,500","72,900",5,"10,000",500
12,OCGT,96.0,2018/20/25,0.35,25,2,2,"80,000","600,000","12,600","9,900",4,"2,500","2,400"
13,OCGT,299.0,2018/20/25,0.35,25,2,2,"30,000","400,000","13,600","9,600",3,"1,600","2,500"
14,OCGT,311.0,2018/20/25,0.35,25,2,2,"30,000","400,000","13,600","9,500",3,"1,600","2,500"
15,OCGT,400.0,2018/20/25,0.34,25,2,2,"30,000","300,000","15,100","7,800",3,"1,300","2,500"
16,OCGT,625.0,2018/20/25,0.35,25,2,2,"20,000","300,000","15,100","4,600",3,"1,200","2,400"
17,Offshore,321.0,2018,0.0,23,5,3,"60,000","2,200,000","69,300","30,900",3,"1,400","33,500"
18,Offshore,321.0,2020,0.0,23,5,3,"60,000","2,100,000","69,300","30,000",3,"1,400","32,600"
19,Offshore,321.0,2025,0.0,23,5,3,"60,000","1,900,000","69,300","28,600",3,"1,300","31,100"
20,Offshore,844.0,2018,0.0,22,5,3,"120,000","2,400,000","323,000","48,600",4,"3,300","50,300"
21,Offshore,844.0,2020,0.0,22,5,3,"120,000","2,300,000","323,000","47,300",3,"3,300","48,900"
22,Offshore,844.0,2025,0.0,22,5,3,"120,000","2,100,000","323,000","45,400",3,"3,100","47,000"
23,Onshore,0.01,2018,1.0,20,0,0,0,"3,700,000",0,"29,700",0,0,0
24,Onshore,0.01,2020,1.0,20,0,0,0,"3,600,000",0,"29,600",0,0,0
25,Onshore,0.01,2025,1.0,20,0,0,0,"3,500,000",0,"29,600",0,0,0
26,Onshore,0.482,2018,1.0,20,0,0,0,"2,200,000",200,"56,900",0,0,0
27,Onshore,0.482,2020,1.0,20,0,0,0,"2,100,000",200,"56,900",0,0,0
28,Onshore,0.482,2025,1.0,20,0,0,0,"2,000,000",200,"56,700",0,0,0
29,Onshore,20.0,2018,0.0,24,4,2,"110,000","1,200,000","3,300","23,200",5,"1,400","3,100"
30,Onshore,20.0,2020,0.0,24,4,2,"110,000","1,200,000","3,300","23,000",5,"1,400","3,100"
31,Onshore,20.0,2025,0.0,24,4,2,"110,000","1,200,000","3,300","22,400",5,"1,400","3,000"
32,PV,0.003,2018,1.0,30,0,0,0,"1,500,000",0,"23,500",0,0,0
33,PV,0.003,2020,1.0,30,0,0,0,"1,500,000",0,"23,400",0,0,0
34,PV,0.003,2025,1.0,30,0,0,0,"1,400,000",0,"23,200",0,0,0
35,PV,0.455,2018,1.0,30,0,0,0,"1,000,000",200,"9,400",0,0,0
36,PV,0.455,2025,1.0,30,0,0,0,"900,000",200,"9,200",0,0,0
37,PV,1.0,2018,0.0,25,1,0,"20,000","700,000",0,"6,600",3,"2,600","1,300"
38,PV,1.0,2020,0.0,25,1,0,"20,000","700,000",0,"6,300",3,"2,600","1,300"
39,PV,1.0,2025,0.0,25,1,0,"20,000","600,000",0,"5,900",3,"2,400","1,200"
40,PV,4.0,2018,0.0,25,1,0,"60,000","700,000",200,"8,300",0,"1,200","1,300"
41,PV,4.0,2020,0.0,25,1,0,"60,000","700,000",200,"8,000",0,"1,100","1,300"
42,PV,4.0,2025,0.0,25,1,0,"60,000","600,000",200,"7,500",0,"1,100","1,200"
43,PV,16.0,2018,0.0,25,1,0,"70,000","700,000",400,"5,600",0,"2,000","1,300"
44,PV,16.0,2020,0.0,25,1,0,"70,000","600,000",400,"5,400",0,"1,900","1,300"
45,PV,16.0,2025,0.0,25,1,0,"70,000","600,000",400,"5,100",0,"1,800","1,200"
46,Reciprocating Engine (Diesel),20.0,2018/20/25,0.34,15,2,1,"10,000","300,000","2,200","10,000",2,"1,000","-31,900"
47,Reciprocating Engine (Gas),20.0,2018/20/25,0.32,15,2,1,"10,000","300,000","3,400","10,000",2,"1,000","-31,900"
